shift_datetime,shift_type,dominant_group,adaptive_policy,pre_shift_mae,mae_no_retrain,recovery_no_retrain,mae_full_retrain,recovery_full_retrain,mae_window_retrain,recovery_window_retrain,mae_weighted_retrain,recovery_weighted_retrain,mae_adaptive_retrain,recovery_adaptive_retrain
2024-08-05 08:00:00,scheduled,sentiment,event_full,0.000813,0.000779,29,0.000768,29,0.000775,29,0.00077,29,0.000768,29
2024-08-14 04:00:00,scheduled,sentiment,event_full,0.000593,0.000808,-1,0.000811,120,0.000813,104,0.000811,104,0.000811,120
2024-08-22 00:00:00,scheduled,sentiment,event_full,0.000719,0.000874,57,0.000875,57,0.000908,62,0.000907,62,0.000875,57
2024-09-23 00:00:00,scheduled,technical,technical_window,0.000701,0.000856,81,0.000846,80,0.000935,84,0.000933,82,0.000934,84
2024-10-04 04:00:00,scheduled,technical,technical_window,0.000927,0.000966,29,0.000957,29,0.001072,29,0.001074,29,0.001072,29
2024-10-17 04:00:00,scheduled,technical,technical_window,0.000614,0.001293,56,0.001284,56,0.001403,-1,0.001399,-1,0.001428,-1
2024-10-24 04:00:00,scheduled,technical,technical_window,0.000953,0.001441,29,0.001423,29,0.001485,29,0.001482,29,0.001493,29
2024-11-01 08:00:00,scheduled,sentiment,event_full,0.000806,0.001515,-1,0.001492,-1,0.001583,-1,0.00158,-1,0.001492,-1
2025-03-03 08:00:00,scheduled,technical,technical_window,0.001392,0.001937,42,0.001948,42,0.001984,42,0.001987,42,0.001984,42
2025-03-13 04:00:00,scheduled,technical,technical_window,0.00155,0.001925,29,0.001899,29,0.001976,29,0.001973,29,0.001985,29
2025-04-03 04:00:00,scheduled,sentiment,event_full,0.00146,0.002077,68,0.002024,67,0.002087,65,0.002087,65,0.002024,67
2025-04-24 04:00:00,scheduled,technical,technical_window,0.001972,0.001548,29,0.001502,29,0.00157,29,0.001569,29,0.001576,29
2025-07-03 08:00:00,scheduled,technical,technical_window,0.001511,0.001155,29,0.001136,29,0.001249,29,0.001244,29,0.001241,29
2025-12-01 08:00:00,scheduled,technical,technical_window,0.000809,0.000724,29,0.000736,29,0.00079,29,0.000791,29,0.000798,29
2026-01-21 04:00:00,scheduled,sentiment,event_full,0.000975,0.001136,73,0.001135,72,0.001242,76,0.001241,76,0.001135,72
